ID: 10313 | أراضي
ID: 19000 | أراضي سكنية
ID: 19060 | أراضي حكومية / تنظيم خاص
ID: 19061 | أرض أملاك دولة
ID: 19062 | أرض وقف
ID: 19063 | أرض تنظيم حكومي
ID: 19070 | أراضي بدون تنظيم
ID: 19071 | أرض خارج التنظيم
ID: 19072 | أرض بادية
ID: 19073 | أرض فضاء
ID: 19074 | أرض غير مصنفة
ID: 19040 | أراضي سياحية
ID: 19050 | أراضي متعددة الاستخدام
ID: 19052 | أرض استثمار
ID: 19053 | أرض استعمال مختلط
ID: 19054 | أرض مشروع
ID: 19051 | أرض تنظيم خاص
ID: 19010 | أراضي تجارية
ID: 19020 | أراضي صناعية
ID: 19030 | أراضي زراعية
ID: 2 | عقارات للبيع
ID: 10310 | سكني
ID: 10101 | فلل وقصور
ID: 10102 | بيوت مستقلة للبيع
ID: 10104 | طابق كامل للبيع
ID: 10301 | شقق للبيع
ID: 10015 | شقق فندقية / مخدومة
ID: 10302 | ستوديوهات للبيع
ID: 10103 | دوبلكس / بنتهاوس
ID: 10105 | ملحق / روف
ID: 10999 | أخرى
ID: 10311 | تجاري
ID: 10876 | معارض تجارية متخصصة
ID: 10877 | معارض سيارات
ID: 10878 | معرض مستقل
ID: 10883 | معارض أجهزة كهربائية وإلكترونيات
ID: 10886 | معارض ملابس وأحذية
ID: 10889 | صالونات ومراكز تجميل
ID: 10890 | صالون حلاقة رجالي
ID: 10893 | صالون تجميل نسائي / سبا
ID: 10896 | مطاعم ومقاهي
ID: 18001 | مطعم
ID: 18002 | كافيه / مقهى
ID: 18003 | مطعم وكافيه
ID: 10912 | مخازن ومستودعات
ID: 10913 | مخزن متصل بمحل
ID: 10915 | مخزن خلفي
ID: 10919 | مستودع مستقل
ID: 18007 | مخزن
ID: 18013 | مراكز تعليمية
ID: 18014 | مدرسة
ID: 18015 | روضة
ID: 18016 | مركز تدريب
ID: 18017 | معهد
ID: 18028 | أراضي تجارية
ID: 18029 | أرض تجارية
ID: 18030 | أرض صناعية
ID: 18031 | أرض استثمارية
ID: 18032 | مباني تجارية كاملة
ID: 18033 | عمارة تجارية
ID: 18036 | مبنى متعدد الاستخدام
ID: 18034 | مجمع تجاري
ID: 18035 | مول
ID: 18037 | أخرى
ID: 10303 | محلات ومعارض للبيع
ID: 10853 | محلات تجارية عامة
ID: 10874 | محل مغلق
ID: 10875 | بسطة / مساحة مفتوحة
ID: 10872 | كشك / بسطة / مساحة مفتوحة
ID: 10304 | مكاتب للبيع
ID: 18004 | مكتب
ID: 16945 | مقر مستقل
ID: 18005 | مقر شركة
ID: 18006 | مبنى إداري
ID: 18008 | عيادات ومراكز طبية
ID: 18010 | مركز طبي
ID: 18009 | عيادة
ID: 18011 | مختبر
ID: 18012 | صيدلية
ID: 18018 | صالات ومرافق
ID: 18019 | صالة رياضية
ID: 18020 | صالة أفراح
ID: 18021 | صالة عرض
ID: 18022 | نادي
ID: 18023 | فنادق وسياحة
ID: 18024 | فندق
ID: 18026 | بيت ضيافة
ID: 18027 | نزل
ID: 10314 | مزارع
ID: 19200 | مزارع زراعية
ID: 19201 | مزرعة خضار
ID: 19202 | مزرعة فواكه
ID: 19203 | مزرعة زيتون
ID: 19204 | مزرعة حمضيات
ID: 19205 | مزرعة محاصيل
ID: 19206 | مزرعة أشجار
ID: 19210 | مزارع تربية حيوانات
ID: 19211 | مزرعة أغنام
ID: 19212 | مزرعة أبقار
ID: 19213 | مزرعة دواجن
ID: 19214 | مزرعة خيول
ID: 19215 | مزرعة أسماك
ID: 19216 | مزرعة نحل
ID: 19230 | مزارع مع سكن
ID: 19231 | مزرعة مع بيت
ID: 19232 | مزرعة مع فيلا
ID: 19233 | مزرعة مع استراحة
ID: 19234 | مزرعة مع شاليه
ID: 19220 | مزارع استثمارية
ID: 19221 | مزرعة استثمارية
ID: 19222 | مزرعة منتجة
ID: 19223 | مزرعة مشروع
ID: 19224 | مزرعة تجارية
ID: 19240 | مزارع سياحية / ترفيهية
ID: 19241 | مزرعة سياحية
ID: 19242 | مزرعة رحلات
ID: 19243 | مزرعة منتجع
ID: 19244 | مزرعة فعاليات
ID: 19250 | مزارع مجهزة بالبنية التحتية
ID: 19251 | مزرعة مع بئر
ID: 19252 | مزرعة مع كهرباء
ID: 19253 | مزرعة مع بيت بلاستيك
ID: 19254 | مزرعة مع مستودعات
ID: 19260 | مزارع صناعية / إنتاجية
ID: 19261 | مزرعة أعلاف
ID: 19262 | مزرعة ألبان
ID: 19263 | مزرعة دواجن تجارية
ID: 19264 | مزرعة إنتاج غذائي
ID: 19270 | مزارع غير مستغلة
ID: 19271 | مزرعة غير مزروعة
ID: 19272 | مزرعة أرض فقط
ID: 19273 | مزرعة بحاجة تأهيل
ID: 19274 | مزرعة غير مستثمرة
ID: 19280 | أخرى
ID: 10315 | شاليهات / منتجعات / بيوت ريفية
ID: 19300 | شاليهات
ID: 19301 | شاليه مستقل
ID: 19302 | شاليه ضمن مجمع
ID: 19303 | شاليه مع مسبح
ID: 19304 | شاليه مع حديقة
ID: 19305 | شاليه مع إطلالة
ID: 19320 | استراحات ومزارع ترفيهية
ID: 19321 | استراحة
ID: 19322 | استراحة عائلية
ID: 19323 | مزرعة ترفيهية
ID: 19324 | مزرعة مع مسبح
ID: 19330 | شقق فندقية
ID: 19331 | شقة فندقية
ID: 19333 | فيلا فندقية
ID: 19332 | جناح فندقي
ID: 19340 | فلل سياحية
ID: 19341 | فيلا سياحية
ID: 19342 | فيلا ضمن منتجع
ID: 19343 | فيلا عطلات
ID: 19310 | منتجعات
ID: 19311 | منتجع سياحي
ID: 19312 | منتجع عائلي
ID: 19313 | منتجع علاجي
ID: 19314 | منتجع جبلي
ID: 19315 | منتجع بحري
ID: 19350 | مواقع تخييم ورحلات
ID: 19351 | موقع تخييم
ID: 19352 | مخيم سياحي
ID: 19353 | مخيم صحراوي
ID: 19354 | موقع كرفانات
ID: 19360 | بيوت ضيافة
ID: 19361 | بيت ضيافة
ID: 19362 | نُزل
ID: 19363 | نُزل ريفي
ID: 19364 | بيت تراثي سياحي
ID: 19370 | مشاريع سياحية
ID: 19372 | مشروع شاليهات
ID: 19371 | مشروع منتجع
ID: 19373 | أرض مشروع سياحي
